account.tax.code:code,account.tax.code:name,account.account.tag:name,account.account.tag:xmlid
00,Opérations soumises à un régime particulier,Belgium VAT Form: grid 0,l10n_be.tax_tag_00
01,Opérations avec TVA à 6%,Belgium VAT Form: grid 01,l10n_be.tax_tag_01
02,Opérations avec TVA à 12%,Belgium VAT Form: grid 02,l10n_be.tax_tag_02
03,Opérations avec TVA à 21%,Belgium VAT Form: grid 03,l10n_be.tax_tag_03
44,Services intra-communautaires,Belgium VAT Form: grid 44,l10n_be.tax_tag_44
45,Opérations avec TVA due par le cocontractant,Belgium VAT Form: grid 45,l10n_be.tax_tag_45
46,Livraisons intra-communautaire exemptées,,
46L,Livraisons biens intra-communautaire exemptées,Belgium VAT Form: grid 46L,l10n_be.tax_tag_46L
46T,ABC intra-communautaires,Belgium VAT Form: grid 46T,l10n_be.tax_tag_46T
47,Autres operations exemptées,Belgium VAT Form: grid 47,l10n_be.tax_tag_47
48,Notes de crédit aux opérations grilles [44] et [46],,
48s44,Notes de crédit aux opérations grille [44],Belgium VAT Form: grid 48s44,l10n_be.tax_tag_48s44
48s46L,Notes de crédit aux opérations grille [46L],Belgium VAT Form: grid 48s46L,l10n_be.tax_tag_48s46L
48s46T,Notes de crédit aux opérations grille [46T],Belgium VAT Form: grid 48s46T,l10n_be.tax_tag_48s46T
49,Notes de crédit aux opérations du point II,Belgium VAT Form: grid 49,l10n_be.tax_tag_49
54,"TVA sur opérations des grilles [01], [02], [03]",Belgium VAT Form: grid 54,l10n_be.tax_tag_54
55,TVA sur opérations des grilles [86] et [88],Belgium VAT Form: grid 55,l10n_be.tax_tag_55
56,TVA sur opérations de la grille [87],Belgium VAT Form: grid 56,l10n_be.tax_tag_56
57,TVA relatives aux importations,Belgium VAT Form: grid 57,l10n_be.tax_tag_57
59,TVA déductible,Belgium VAT Form: grid 59,l10n_be.tax_tag_59
61,Diverses régularisations en faveur de l'Etat,Belgium VAT Form: grid 61,l10n_be.tax_tag_61
62,Régularisations TVA en faveur du déclarant,Belgium VAT Form: grid 62,l10n_be.tax_tag_62
63,TVA à reverser sur notes de crédit reçues,Belgium VAT Form: grid 63,l10n_be.tax_tag_63
64,TVA à recuperer sur notes de crédit delivrées,Belgium VAT Form: grid 64,l10n_be.tax_tag_64
81,"Marchandises, matières premières et auxiliaires",Belgium VAT Form: grid 81,l10n_be.tax_tag_81
82,Services et biens divers,Belgium VAT Form: grid 82,l10n_be.tax_tag_82
83,Biens d'investissement,Belgium VAT Form: grid 83,l10n_be.tax_tag_83
84,Notes de crédits sur opérations case [86] et [88],Belgium VAT Form: grid 84,l10n_be.tax_tag_84
85,Notes de crédits autres opérations,Belgium VAT Form: grid 85,l10n_be.tax_tag_85
86,Acquisition intra-communautaires et ventes ABC,Belgium VAT Form: grid 86,l10n_be.tax_tag_86
88,Acquisition services intra-communautaires,Belgium VAT Form: grid 88,l10n_be.tax_tag_88
87,Autres opérations à l'entrée,Belgium VAT Form: base in 87,l10n_be.tax_tag_87
,,Belgium VAT Form: Tax not deductible (grid 81),l10n_be.tax_tag_81_not_deductible
,,Belgium VAT Form: Tax not deductible (grid 82),l10n_be.tax_tag_82_not_deductible
,,Belgium VAT Form: Tax not deductible (grid 83),l10n_be.tax_tag_83_not_deductible
,,Belgium VAT Form: Tax not deductible (grid 85),l10n_be.tax_tag_85_not_deductible
